2026-05-22 07:51:53,276 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 07:55:50,353 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 07:56:37,130 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 07:56:59,191 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 07:57:21,318 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 08:00:22,117 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 08:00:34,969 | INFO | REQUEST | POST /chats STATUS=307 TIME=0.001s
2026-05-22 08:01:17,708 | INFO | REQUEST | GET /users/me STATUS=401 TIME=0.012s
2026-05-22 08:02:11,702 | INFO | REQUEST | POST /chats/ STATUS=400 TIME=96.72s
2026-05-22 09:28:27,393 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 09:30:03,178 | INFO | REQUEST | POST /image-processing/upload STATUS=200 TIME=0.011s
2026-05-22 09:32:07,961 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 09:32:13,323 | INFO | REQUEST | POST /image-processing/upload STATUS=200 TIME=5.324s
2026-05-22 09:44:11,672 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 09:45:22,613 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=19.051s
2026-05-22 09:59:44,216 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 09:59:47,994 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=0.032s
2026-05-22 09:59:51,586 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=0.088s
2026-05-22 10:00:49,158 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:01:04,674 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=0.029s
2026-05-22 10:07:42,914 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:09:41,191 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:10:04,410 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:10:23,637 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:11:11,450 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:11:32,068 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:11:40,682 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=0.029s
2026-05-22 10:15:39,779 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=0.046s
2026-05-22 10:22:03,646 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:23:59,290 | INFO | REQUEST | POST /voice-processing/upload STATUS=200 TIME=63.222s
2026-05-22 10:27:10,060 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.005s
2026-05-22 10:32:09,757 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.003s
2026-05-22 10:32:45,024 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.004s
2026-05-22 10:37:22,521 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:37:48,381 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:39:01,275 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:39:53,340 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:40:02,655 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=2.403s
2026-05-22 10:42:20,627 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:42:27,055 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=2.422s
2026-05-22 10:44:10,084 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:44:16,137 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=2.183s
2026-05-22 10:46:26,051 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.003s
2026-05-22 10:46:29,291 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.003s
2026-05-22 10:46:30,573 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.002s
2026-05-22 10:46:31,945 | INFO | REQUEST | POST /text-processing/chat STATUS=200 TIME=0.002s
2026-05-22 10:55:28,378 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:57:36,306 | INFO | REQUEST | ReMIND backend started successfully
2026-05-22 10:58:21,493 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:27:46,111 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:28:42,930 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:30:44,135 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:31:41,453 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:55:37,326 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:56:51,280 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:57:55,199 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 00:59:46,936 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 01:00:08,747 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 01:00:31,833 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 01:00:55,710 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 01:04:36,047 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 02:00:16,318 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:11:28,062 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:20:03,136 | INFO | REQUEST | POST /admin/login STATUS=401 TIME=0.337s
2026-05-23 14:20:34,779 | INFO | REQUEST | POST /admin/login STATUS=200 TIME=0.272s
2026-05-23 14:30:59,529 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:31:33,658 | INFO | REQUEST | POST /auth/register STATUS=200 TIME=0.347s
2026-05-23 14:33:07,602 | INFO | REQUEST | POST /auth/register STATUS=200 TIME=0.265s
2026-05-23 14:33:43,497 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.004s
2026-05-23 14:34:40,109 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.009s
2026-05-23 14:35:02,986 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.005s
2026-05-23 14:35:25,800 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.004s
2026-05-23 14:36:07,259 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.005s
2026-05-23 14:36:26,724 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.004s
2026-05-23 14:36:55,539 | INFO | REQUEST | POST /auth/register STATUS=400 TIME=0.005s
2026-05-23 14:37:03,675 | INFO | REQUEST | POST /auth/register STATUS=200 TIME=0.28s
2026-05-23 14:37:32,263 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.007s
2026-05-23 14:37:57,195 | INFO | REQUEST | POST /auth/login STATUS=401 TIME=0.005s
2026-05-23 14:40:04,242 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.004s
2026-05-23 14:43:11,340 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:43:29,465 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.003s
2026-05-23 14:43:39,898 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.002s
2026-05-23 14:44:18,102 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:44:24,857 | INFO | REQUEST | POST /auth/login STATUS=422 TIME=0.005s
2026-05-23 14:44:54,354 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:47:45,906 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:47:46,412 | INFO | REQUEST | POST /auth/login STATUS=200 TIME=0.467s
2026-05-23 14:49:02,253 | INFO | REQUEST | POST /auth/register STATUS=200 TIME=0.285s
2026-05-23 14:52:29,083 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:52:55,490 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:54:23,912 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:54:41,727 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:56:42,413 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 14:56:42,519 | INFO | REQUEST | POST /auth/register STATUS=400 TIME=0.061s
2026-05-23 14:59:29,375 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:07:36,198 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:08:39,162 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:11:18,560 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:15:40,893 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:17:08,427 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:24:31,038 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:25:32,674 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:33:38,674 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:33:42,683 | INFO | REQUEST | POST /admin/login STATUS=200 TIME=0.343s
2026-05-23 15:36:11,957 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:38:58,673 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:47:38,923 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 15:47:57,430 | INFO | REQUEST | GET /admin/analytics STATUS=200 TIME=0.098s
2026-05-23 16:01:57,674 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 16:03:27,431 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 16:07:43,243 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 16:08:15,203 | INFO | REQUEST | ReMIND backend started successfully
2026-05-23 16:08:35,564 | INFO | REQUEST | ReMIND backend started successfully
